#qty,Digi-Key Part#,id,desc
1,M8859-ND,C1,2200 uF inductor
1,BC1087TR-ND,C2,CAPACITOR CERAMIC 470PF 50V 10%
1,P12396-ND,C3,CAPACITOR ALUMINUM 180 uF
1,495-5547-1-ND,C4,CHOKE RF 1.0UH 1.2A
4,1N4003FSCT-ND,D1 D2 D3 D4,DIODE 1N4003
1,1N5819FSCT-ND,D5,1N5819 DIODE SCHOTTKY 40V 1A
1,F4191-ND,F1,1A FUSE
2,F4082-ND,F1b,FUSE HOLDER
1,ED2581-ND,K1,Terminal Block 3 position 5.08MM pitch CONN_3
1,M8859-ND,L1,220uH Inductor
1,495-5547-1-ND,L2,CHOKE RF 1.0UH 1.2A
1,A26509-40-ND,P1,P2,BREAKAWAY HEADER CONN_3X2
1,WHAR25FECT-ND,R2,0.25 OHM RESISTOR 1/2W 1%
1,bulk,R1,0.5M 1/4W resistor
1,bulk,R3,2.2k 1/4W resistor
1,bulk,R4,6.6k 1/4W resistor
1,F24-800-C2,transformer,T1,TRANSFORMER_F24-800-C2
1,296-17766-5-ND,U1,IC REG BUCK BOOST INV ADJ 8PDIP MC34063
1,839-1184-ND,XX,110V POWER CABLE
