#qty,Digi-Key Part#,id,desc,cost
4,1N4003FSCT-ND,D1 D2 D3 D4,DIODE 1N4003,0.1
1,296-17766-5-ND,U1,IC REG BUCK BOOST INV ADJ 8PDIP MC34063,0.62
1,WHAR25FECT-ND,R2,0.25 OHM RESISTOR 1/2W 1%,0.93
1,bulk,R1,~0.5M 1/4W resistor,0.1
1,bulk,R3,3k 1/4W resistor,0.1
1,bulk,R4,5k 1/4W resistor,0.1
1,bulk,R5,330 1/4W resistor,0.1
1,1N5819FSCT-ND,D5,1N5819 DIODE SCHOTTKY 40V 1A,0.5
1,495-5547-1-ND,L2,CHOKE RF 1.0UH 1.2A,0.42
1,bulk,D6,5mm LED,0.2
1,P12396-ND,C3,CAPACITOR ALUMINUM 180 uF,0.59
1,P5187-ND,C1,CAPACITOR ALUMINUM 2200 uF 50V 20%,0.90
1,M8859-ND,L1,2200 uH inductor,2.08
1,399-9887-1-ND,C4,CAPACITOR CERAMIC 1 uF 50V 20%,0.86
1,399-9865-1-ND,C2,CAPACITOR CERAMIC 1 nF (1000 pF),0.26
1,bulk A26509-40-ND,P1,breakaway header 3x2,0.27
1,bulk A26509-40-ND,P2,breakaway header 4x2,0.36
1,F4191-ND,F1,1A FUSE,0.28
2,F4082-ND,F1,FUSE HOLDER,0.16
1,ED1975-ND,P3,Terminal Block 2 position 5.08MM pitch,0.63
1,power24 PCB (20140304),,,7.917
